County,test,legendfront,legendback,legendtext,second-ref,ledgerstyle,cost,mi,per-income,inc-100,4year,saveperiod,save,saveinterest
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2019,17684,80088,0,22,70736,n/a,n/a,202.56
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2020,18507,81690,0,23,74028,12,342.7222222,211.99
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2021,19368,83324,0,23,77472,24,358.6666667,221.85
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2022,20268,84990,0,24,81072,36,375.3333333,232.16
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2023,21211,86690,0,24,84844,48,392.7962963,242.97
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2024,22198,88424,0,25,88792,60,411.0740741,254.27
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2025,23231,90192,0,26,92924,72,430.2037037,266.10
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2026,24311,91996,0,26,97244,84,450.2037037,278.47
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2027,25442,93836,0,27,101768,96,471.1481481,291.43
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2028,26625,95713,0,28,106500,108,493.0555556,304.98
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2029,27864,97627,0,29,111456,120,516,319.17
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2030,29160,99579,0,29,116640,132,540,334.02
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2031,30517,101571,0,30,122068,144,565.1296296,349.56
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2032,31936,103602,0,31,127744,156,591.4074074,365.82
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2033,33422,105674,0,32,133688,168,618.9259259,382.84
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2034,34976,107788,0,32,139904,180,647.7037037,400.64
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2035,36603,109944,0,33,146412,192,677.8333333,419.28
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2036,38306,112143,0,34,153224,204,709.3703704,438.78
New Jersey Institute of Technology,NJIT,green,purple,Public average,NJIT,2037,40088,114385,0,35,160352,216,742.3703704,459.20
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2019,14974,80088,0,19,60860,n/a,281.7592593,174.28
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2020,15814,81690,0,19,63256,12,292.8518519,181.14
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2021,16437,83324,0,20,65748,24,304.3888889,188.28
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2022,17084,84990,0,20,68336,36,316.3703704,195.69
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2023,17757,86690,0,20,71028,48,328.8333333,203.40
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2024,18456,88424,0,21,73824,60,341.7777778,211.41
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2025,19183,90192,0,21,76732,72,355.2407407,219.74
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2026,19939,91996,0,22,79756,84,369.2407407,228.40
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2027,20724,93836,0,22,82896,96,383.7777778,237.39
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2028,21541,95713,0,23,86164,108,398.9074074,246.75
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2029,22389,97627,0,23,89556,120,414.6111111,256.46
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2030,23271,99579,0,23,93084,132,430.9444444,266.56
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2031,24188,101571,0,24,96752,144,447.9259259,277.07
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2032,25140,103602,0,24,100560,156,465.5555556,287.97
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2033,26131,105674,0,25,104524,168,483.9074074,299.32
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2034,27160,107788,0,25,108640,180,502.962963,311.11
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2035,28230,109944,0,26,112920,192,522.7777778,323.37
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2036,29341,112143,0,26,117364,204,543.3518519,336.09
Rutgers University (All campus average),Rutgers,green,purple,Public average,Rutgers,2037,30497,114385,0,27,121988,216,564.7592593,349.33
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2019,16831,80088,0,21,67324,n/a,311.6851852,192.79
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2020,17542,81690,0,21,70168,12,324.8518519,200.94
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2021,18282,83324,0,22,73128,24,338.5555556,209.41
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2022,19054,84990,0,22,76216,36,352.8518519,218.26
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2023,19859,86690,0,23,79436,48,367.7592593,227.48
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2024,20697,88424,0,23,82788,60,383.2777778,237.08
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2025,21571,90192,0,24,86284,72,399.462963,247.09
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2026,22482,91996,0,24,89928,84,416.3333333,257.52
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2027,23431,93836,0,25,93724,96,433.9074074,268.39
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2028,24421,95713,0,26,97684,108,452.2407407,279.73
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2029,25452,97627,0,26,101808,120,471.3333333,291.54
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2030,26527,99579,0,27,106108,132,491.2407407,303.86
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2031,27647,101571,0,27,110588,144,511.9814815,316.69
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2032,28814,103602,0,28,115256,156,533.5925926,330.06
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2033,30031,105674,0,28,120124,168,556.1296296,344.00
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2034,31299,107788,0,29,125196,180,579.6111111,358.52
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2035,32620,109944,0,30,130480,192,604.0740741,373.65
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2036,33998,112143,0,30,135992,204,629.5925926,389.44
College of New Jersey,TCNJ,green,purple,Public average,TCNJ,2037,35433,114385,0,31,141732,216,656.1666667,405.87
Kean University,Kean,green,purple,Public average,Kean,2019,12500,80088,0,16,50000,n/a,231.4814815,143.18
Kean University,Kean,green,purple,Public average,Kean,2020,13001,81690,0,16,52004,12,240.7592593,148.92
Kean University,Kean,green,purple,Public average,Kean,2021,13523,83324,0,16,54092,24,250.4259259,154.90
Kean University,Kean,green,purple,Public average,Kean,2022,14066,84990,0,17,56264,36,260.4814815,161.12
Kean University,Kean,green,purple,Public average,Kean,2023,14631,86690,0,17,58524,48,270.9444444,167.59
Kean University,Kean,green,purple,Public average,Kean,2024,15219,88424,0,17,60876,60,281.8333333,174.33
Kean University,Kean,green,purple,Public average,Kean,2025,15830,90192,0,18,63320,72,293.1481481,181.33
Kean University,Kean,green,purple,Public average,Kean,2026,16466,91996,0,18,65864,84,304.9259259,188.61
Kean University,Kean,green,purple,Public average,Kean,2027,17127,93836,0,18,68508,96,317.1666667,196.18
Kean University,Kean,green,purple,Public average,Kean,2028,17814,95713,0,19,71256,108,329.8888889,204.05
Kean University,Kean,green,purple,Public average,Kean,2029,18530,97627,0,19,74120,120,343.1481481,212.26
Kean University,Kean,green,purple,Public average,Kean,2030,19274,99579,0,19,77096,132,356.9259259,220.78
Kean University,Kean,green,purple,Public average,Kean,2031,20048,101571,0,20,80192,144,371.2592593,229.64
Kean University,Kean,green,purple,Public average,Kean,2032,20853,103602,0,20,83412,156,386.1666667,238.86
Kean University,Kean,green,purple,Public average,Kean,2033,21690,105674,0,21,86760,168,401.6666667,248.45
Kean University,Kean,green,purple,Public average,Kean,2034,22561,107788,0,21,90244,180,417.7962963,258.43
Kean University,Kean,green,purple,Public average,Kean,2035,23467,109944,0,21,93868,192,434.5740741,268.81
Kean University,Kean,green,purple,Public average,Kean,2036,24409,112143,0,22,97636,204,452.0185185,279.60
Kean University,Kean,green,purple,Public average,Kean,2037,25389,114385,0,22,101556,216,470.1666667,290.82
Montclair State University,Montclair,green,purple,Public average,Montclair,2019,12966,80088,0,16,51864,n/a,240.1111111,148.52
Montclair State University,Montclair,green,purple,Public average,Montclair,2020,13497,81690,0,17,53988,12,249.9444444,154.60
Montclair State University,Montclair,green,purple,Public average,Montclair,2021,14051,83324,0,17,56204,24,260.2037037,160.95
Montclair State University,Montclair,green,purple,Public average,Montclair,2022,14627,84990,0,17,58508,36,270.8703704,167.55
Montclair State University,Montclair,green,purple,Public average,Montclair,2023,15226,86690,0,18,60904,48,281.962963,174.41
Montclair State University,Montclair,green,purple,Public average,Montclair,2024,15851,88424,0,18,63404,60,293.537037,181.57
Montclair State University,Montclair,green,purple,Public average,Montclair,2025,16500,90192,0,18,66000,72,305.5555556,189.00
Montclair State University,Montclair,green,purple,Public average,Montclair,2026,17177,91996,0,19,68708,84,318.0925926,196.76
Montclair State University,Montclair,green,purple,Public average,Montclair,2027,17881,93836,0,19,71524,96,331.1296296,204.82
Montclair State University,Montclair,green,purple,Public average,Montclair,2028,18614,95713,0,19,74456,108,344.7037037,213.22
Montclair State University,Montclair,green,purple,Public average,Montclair,2029,19377,97627,0,20,77508,120,358.8333333,221.96
Montclair State University,Montclair,green,purple,Public average,Montclair,2030,20172,99579,0,20,80688,132,373.5555556,231.06
Montclair State University,Montclair,green,purple,Public average,Montclair,2031,20999,101571,0,21,83996,144,388.8703704,240.54
Montclair State University,Montclair,green,purple,Public average,Montclair,2032,21860,103602,0,21,87440,156,404.8148148,250.40
Montclair State University,Montclair,green,purple,Public average,Montclair,2033,22756,105674,0,22,91024,168,421.4074074,260.66
Montclair State University,Montclair,green,purple,Public average,Montclair,2034,23689,107788,0,22,94756,180,438.6851852,271.35
Montclair State University,Montclair,green,purple,Public average,Montclair,2035,24660,109944,0,22,98640,192,456.6666667,282.47
Montclair State University,Montclair,green,purple,Public average,Montclair,2036,25671,112143,0,23,102684,204,475.3888889,294.05
Montclair State University,Montclair,green,purple,Public average,Montclair,2037,26723,114385,0,23,106892,216,494.8703704,306.10
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2019,12386,80088,0,15,49544,n/a,229.3703704,141.88
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2020,13042,81690,0,16,52168,12,241.5185185,149.39
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2021,13734,83324,0,16,54936,24,254.3333333,157.32
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2022,14462,84990,0,17,57848,36,267.8148148,165.66
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2023,15229,86690,0,18,60916,48,282.0185185,174.44
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2024,16036,88424,0,18,64144,60,296.962963,183.69
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2025,16887,90192,0,19,67548,72,312.7222222,193.44
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2026,17782,91996,0,19,71128,84,329.2962963,203.69
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2027,18725,93836,0,20,74900,96,346.7592593,214.49
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2028,19718,95713,0,21,78872,108,365.1481481,225.86
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2029,20763,97627,0,21,83052,120,384.5,237.83
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2030,21864,99579,0,22,87456,132,404.8888889,250.45
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2031,23023,101571,0,23,92092,144,426.3518519,263.72
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2032,24244,103602,0,23,96976,156,448.962963,277.71
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2033,25530,105674,0,24,102120,168,472.7777778,292.44
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2034,26883,107788,0,25,107532,180,497.8333333,307.94
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2035,28309,109944,0,26,113236,192,524.2407407,324.27
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2036,29810,112143,0,27,119240,204,552.037037,341.46
New Jersey City University,NJCU,green,purple,Public average,New Jersey City University,2037,31390,114385,0,27,125560,216,581.2962963,359.56
Stockton University,Stockton,green,purple,Public average,Stockton,2019,13940,80088,0,17,55760,n/a,258.1481481,159.68
Stockton University,Stockton,green,purple,Public average,Stockton,2020,14498,81690,0,18,57992,12,268.4814815,166.07
Stockton University,Stockton,green,purple,Public average,Stockton,2021,15079,83324,0,18,60316,24,279.2407407,172.73
Stockton University,Stockton,green,purple,Public average,Stockton,2022,15683,84990,0,18,62732,36,290.4259259,179.64
Stockton University,Stockton,green,purple,Public average,Stockton,2023,16312,86690,0,19,65248,48,302.0740741,186.85
Stockton University,Stockton,green,purple,Public average,Stockton,2024,16965,88424,0,19,67860,60,314.1666667,194.33
Stockton University,Stockton,green,purple,Public average,Stockton,2025,17645,90192,0,20,70580,72,326.7592593,202.12
Stockton University,Stockton,green,purple,Public average,Stockton,2026,18352,91996,0,20,73408,84,339.8518519,210.22
Stockton University,Stockton,green,purple,Public average,Stockton,2027,19087,93836,0,20,76348,96,353.462963,218.64
Stockton University,Stockton,green,purple,Public average,Stockton,2028,19852,95713,0,21,79408,108,367.6296296,227.40
Stockton University,Stockton,green,purple,Public average,Stockton,2029,20647,97627,0,21,82588,120,382.3518519,236.50
Stockton University,Stockton,green,purple,Public average,Stockton,2030,21474,99579,0,22,85896,132,397.6666667,245.98
Stockton University,Stockton,green,purple,Public average,Stockton,2031,22334,101571,0,22,89336,144,413.5925926,255.83
Stockton University,Stockton,green,purple,Public average,Stockton,2032,23229,103602,0,22,92916,156,430.1666667,266.08
Stockton University,Stockton,green,purple,Public average,Stockton,2033,24160,105674,0,23,96640,168,447.4074074,276.75
Stockton University,Stockton,green,purple,Public average,Stockton,2034,25128,107788,0,23,100512,180,465.3333333,287.83
Stockton University,Stockton,green,purple,Public average,Stockton,2035,26134,109944,0,24,104536,192,483.962963,299.36
Stockton University,Stockton,green,purple,Public average,Stockton,2036,27181,112143,0,24,108724,204,503.3518519,311.35
Stockton University,Stockton,green,purple,Public average,Stockton,2037,28270,114385,0,25,113080,216,523.5185185,323.82
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2019,14648,80088,0,18,58592,n/a,271.2592593,167.79
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2020,15240,81690,0,19,60960,12,282.2222222,174.57
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2021,15855,83324,0,19,63420,24,293.6111111,181.61
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2022,16495,84990,0,19,65980,36,305.462963,188.95
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2023,17161,86690,0,20,68644,48,317.7962963,196.57
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2024,17854,88424,0,20,71416,60,330.6296296,204.51
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2025,18575,90192,0,21,74300,72,343.9814815,212.77
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2026,19325,91996,0,21,77300,84,357.8703704,221.36
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2027,20105,93836,0,21,80420,96,372.3148148,230.30
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2028,20916,95713,0,22,83664,108,387.3333333,239.59
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2029,21761,97627,0,22,87044,120,402.9814815,249.27
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2030,22639,99579,0,23,90556,132,419.2407407,259.32
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2031,23553,101571,0,23,94212,144,436.1666667,269.79
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2032,24504,103602,0,24,98016,156,453.7777778,280.69
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2033,25493,105674,0,24,101972,168,472.0925926,292.01
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2034,26523,107788,0,25,106092,180,491.1666667,303.81
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2035,27593,109944,0,25,110372,192,510.9814815,316.07
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2036,28707,112143,0,26,114828,204,531.6111111,328.83
Ramapo College,Ramapo,green,purple,Public average,Ramapo,2037,29866,114385,0,26,119464,216,553.0740741,342.11
Rowan University,Rowan,green,purple,Public average,Rowan,2019,13933,80088,0,17,55732,n/a,258.0185185,159.60
Rowan University,Rowan,green,purple,Public average,Rowan,2020,14463,81690,0,18,57852,12,267.8333333,165.67
Rowan University,Rowan,green,purple,Public average,Rowan,2021,15014,83324,0,18,60056,24,278.037037,171.98
Rowan University,Rowan,green,purple,Public average,Rowan,2022,15586,84990,0,18,62344,36,288.6296296,178.53
Rowan University,Rowan,green,purple,Public average,Rowan,2023,16179,86690,0,19,64716,48,299.6111111,185.33
Rowan University,Rowan,green,purple,Public average,Rowan,2024,16795,88424,0,19,67180,60,311.0185185,192.38
Rowan University,Rowan,green,purple,Public average,Rowan,2025,17434,90192,0,19,69736,72,322.8518519,199.70
Rowan University,Rowan,green,purple,Public average,Rowan,2026,18098,91996,0,20,72392,84,335.1481481,207.31
Rowan University,Rowan,green,purple,Public average,Rowan,2027,18787,93836,0,20,75148,96,347.9074074,215.20
Rowan University,Rowan,green,purple,Public average,Rowan,2028,19502,95713,0,20,78008,108,361.1481481,223.39
Rowan University,Rowan,green,purple,Public average,Rowan,2029,20244,97627,0,21,80976,120,374.8888889,231.89
Rowan University,Rowan,green,purple,Public average,Rowan,2030,21015,99579,0,21,84060,132,389.1666667,240.72
Rowan University,Rowan,green,purple,Public average,Rowan,2031,21815,101571,0,21,87260,144,403.9814815,249.88
Rowan University,Rowan,green,purple,Public average,Rowan,2032,22645,103602,0,22,90580,156,419.3518519,259.39
Rowan University,Rowan,green,purple,Public average,Rowan,2033,23508,105674,0,22,94032,168,435.3333333,269.28
Rowan University,Rowan,green,purple,Public average,Rowan,2034,24402,107788,0,23,97608,180,451.8888889,279.52
Rowan University,Rowan,green,purple,Public average,Rowan,2035,25331,109944,0,23,101324,192,469.0925926,290.16
Rowan University,Rowan,green,purple,Public average,Rowan,2036,26296,112143,0,23,105184,204,486.962963,301.21
Rowan University,Rowan,green,purple,Public average,Rowan,2037,27297,114385,0,24,109188,216,505.5,312.68
William Paterson University,WPU,green,purple,Public average,William Paterson,2019,13220,80088,0,17,52880,n/a,244.8148148,151.43
William Paterson University,WPU,green,purple,Public average,William Paterson,2020,13650,81690,0,17,54600,12,252.7777778,156.36
William Paterson University,WPU,green,purple,Public average,William Paterson,2021,14094,83324,0,17,56376,24,261,161.44
William Paterson University,WPU,green,purple,Public average,William Paterson,2022,14553,84990,0,17,58212,36,269.5,166.70
William Paterson University,WPU,green,purple,Public average,William Paterson,2023,15026,86690,0,17,60104,48,278.2592593,172.12
William Paterson University,WPU,green,purple,Public average,William Paterson,2024,15515,88424,0,18,62060,60,287.3148148,177.72
William Paterson University,WPU,green,purple,Public average,William Paterson,2025,16019,90192,0,18,64076,72,296.6481481,183.49
William Paterson University,WPU,green,purple,Public average,William Paterson,2026,16540,91996,0,18,66160,84,306.2962963,189.46
William Paterson University,WPU,green,purple,Public average,William Paterson,2027,17078,93836,0,18,68312,96,316.2592593,195.62
William Paterson University,WPU,green,purple,Public average,William Paterson,2028,17634,95713,0,18,70536,108,326.5555556,201.99
